sale_date,factory,lot_number,grade,clone_type,auction_price_usd,exchange_rate,rainfall_mm,temperature_c,made_tea_kg,bp1_share
1/7/2022,Litein,LIT-68-8700,D1,TRFK 6/8,2.45,114.88,183,19.1,1716,0.425
1/7/2022,Litein,LIT-303577-2136,BP1,TRFK 303/577,3.02,114.88,183,19.1,2515,0.386
1/7/2022,Litein,LIT-303577-4682,PF1,TRFK 303/577,2.89,114.88,183,19.1,2078,0.396
1/7/2022,Litein,LIT-303577-4008,PD,TRFK 303/577,2.46,114.88,183,19.1,965,0.367
1/7/2022,Litein,LIT-303577-7270,D1,TRFK 303/577,2.23,114.88,183,19.1,2239,0.364
1/7/2022,Litein,LIT-318-9441,BP1,TRFK 31/8,2.73,114.88,183,19.1,1341,0.356
1/7/2022,Litein,LIT-318-2495,PF1,TRFK 31/8,2.82,114.88,183,19.1,2004,0.325
1/7/2022,Litein,LIT-318-6464,PD,TRFK 31/8,2.48,114.88,183,19.1,1949,0.289
1/7/2022,Litein,LIT-318-4050,D1,TRFK 31/8,2,114.88,183,19.1,3689,0.354
1/7/2022,Litein,LIT-1219-5116,BP1,TRFK 12/19,2.3,114.88,183,19.1,1671,0.345
1/7/2022,Litein,LIT-1219-3349,PF1,TRFK 12/19,2.38,114.88,183,19.1,2978,0.267
1/7/2022,Litein,LIT-1219-1713,PD,TRFK 12/19,2.32,114.88,183,19.1,1179,0.288
1/7/2022,Litein,LIT-1219-7335,D1,TRFK 12/19,2.59,114.88,183,19.1,1486,0.315
1/7/2022,Litein,LIT-79-5921,BP1,TRFK 7/9,2.59,114.88,183,19.1,1412,0.229
1/7/2022,Litein,LIT-79-5434,PF1,TRFK 7/9,2.41,114.88,183,19.1,2986,0.288
1/7/2022,Litein,LIT-79-2261,PD,TRFK 7/9,2.29,114.88,183,19.1,2593,0.272
1/7/2022,Litein,LIT-79-7816,D1,TRFK 7/9,1.8,114.88,183,19.1,2105,0.288
1/7/2022,Kapkatet,KAP-68-2693,BP1,TRFK 6/8,3.25,114.88,183,19.1,1856,0.432
1/7/2022,Kapkatet,KAP-68-2576,PF1,TRFK 6/8,3.16,114.88,183,19.1,2604,0.398
1/7/2022,Kapkatet,KAP-68-9906,PD,TRFK 6/8,2.55,114.88,183,19.1,2585,0.372
1/7/2022,Kapkatet,KAP-68-3652,D1,TRFK 6/8,2.78,114.88,183,19.1,966,0.369
1/7/2022,Kapkatet,KAP-303577-5203,BP1,TRFK 303/577,2.59,114.88,183,19.1,3169,0.409
1/7/2022,Kapkatet,KAP-303577-7039,PF1,TRFK 303/577,3.24,114.88,183,19.1,2323,0.395
1/7/2022,Kapkatet,KAP-303577-5879,PD,TRFK 303/577,2.38,114.88,183,19.1,2273,0.389
1/7/2022,Kapkatet,KAP-303577-5904,D1,TRFK 303/577,2.33,114.88,183,19.1,2409,0.359
1/7/2022,Kapkatet,KAP-318-4272,BP1,TRFK 31/8,2.68,114.88,183,19.1,3296,0.345
1/7/2022,Kapkatet,KAP-318-3719,PF1,TRFK 31/8,2.56,114.88,183,19.1,2506,0.281
1/7/2022,Kapkatet,KAP-318-2069,PD,TRFK 31/8,2.35,114.88,183,19.1,1715,0.35
1/7/2022,Kapkatet,KAP-318-9447,D1,TRFK 31/8,2.97,114.88,183,19.1,3129,0.374
1/7/2022,Kapkatet,KAP-1219-9775,BP1,TRFK 12/19,2.44,114.88,183,19.1,1567,0.266
1/7/2022,Kapkatet,KAP-1219-5920,PF1,TRFK 12/19,2.25,114.88,183,19.1,1975,0.271
1/7/2022,Kapkatet,KAP-1219-9667,PD,TRFK 12/19,2.68,114.88,183,19.1,1819,0.333
1/7/2022,Kapkatet,KAP-1219-6596,D1,TRFK 12/19,2.43,114.88,183,19.1,2393,0.299
1/7/2022,Kapkatet,KAP-79-2626,BP1,TRFK 7/9,2.25,114.88,183,19.1,1377,0.264
1/7/2022,Kapkatet,KAP-79-9723,PF1,TRFK 7/9,1.93,114.88,183,19.1,3777,0.286
1/7/2022,Kapkatet,KAP-79-8609,PD,TRFK 7/9,2.87,114.88,183,19.1,3483,0.276
1/7/2022,Kapkatet,KAP-79-5225,D1,TRFK 7/9,2.29,114.88,183,19.1,1816,0.288
1/7/2022,Momul,MOM-68-4691,BP1,TRFK 6/8,2.87,114.88,183,19.1,1983,0.435
1/7/2022,Momul,MOM-68-4419,PF1,TRFK 6/8,3.17,114.88,183,19.1,1661,0.377
1/7/2022,Momul,MOM-68-1287,PD,TRFK 6/8,2.45,114.88,183,19.1,1255,0.48
1/7/2022,Momul,MOM-68-7719,D1,TRFK 6/8,2.61,114.88,183,19.1,1419,0.471
1/7/2022,Momul,MOM-303577-3524,BP1,TRFK 303/577,2.57,114.88,183,19.1,1799,0.403
1/7/2022,Momul,MOM-303577-5493,PF1,TRFK 303/577,2.63,114.88,183,19.1,2352,0.374
1/7/2022,Momul,MOM-303577-2568,PD,TRFK 303/577,2.72,114.88,183,19.1,1566,0.383
1/7/2022,Momul,MOM-303577-9722,D1,TRFK 303/577,2.7,114.88,183,19.1,1253,0.378
1/7/2022,Momul,MOM-318-7894,BP1,TRFK 31/8,2.46,114.88,183,19.1,2585,0.309
1/7/2022,Momul,MOM-318-1225,PF1,TRFK 31/8,2.51,114.88,183,19.1,2974,0.294
1/7/2022,Momul,MOM-318-4904,PD,TRFK 31/8,2.52,114.88,183,19.1,1258,0.357
1/7/2022,Momul,MOM-318-9757,D1,TRFK 31/8,2.26,114.88,183,19.1,1772,0.375
1/7/2022,Momul,MOM-1219-3823,BP1,TRFK 12/19,2.8,114.88,183,19.1,3671,0.295
1/7/2022,Momul,MOM-1219-5491,PF1,TRFK 12/19,2.26,114.88,183,19.1,972,0.308
1/7/2022,Momul,MOM-1219-8566,PD,TRFK 12/19,2.46,114.88,183,19.1,1207,0.303
1/7/2022,Momul,MOM-1219-1058,D1,TRFK 12/19,2.38,114.88,183,19.1,3702,0.366
1/7/2022,Momul,MOM-79-7644,BP1,TRFK 7/9,2.18,114.88,183,19.1,3232,0.229
1/7/2022,Momul,MOM-79-8621,PF1,TRFK 7/9,2.17,114.88,183,19.1,951,0.322
1/7/2022,Momul,MOM-79-3254,PD,TRFK 7/9,2.01,114.88,183,19.1,3210,0.205
1/7/2022,Momul,MOM-79-7885,D1,TRFK 7/9,2.12,114.88,183,19.1,2657,0.261
1/7/2022,Kapsara,KAP-68-2023,BP1,TRFK 6/8,2.77,114.88,183,19.1,2790,0.358
1/7/2022,Kapsara,KAP-68-5778,PF1,TRFK 6/8,2.54,114.88,183,19.1,1618,0.375
1/7/2022,Kapsara,KAP-68-8566,PD,TRFK 6/8,2.51,114.88,183,19.1,3268,0.522
1/7/2022,Kapsara,KAP-68-5278,D1,TRFK 6/8,2.4,114.88,183,19.1,2623,0.432
1/7/2022,Kapsara,KAP-303577-3868,BP1,TRFK 303/577,3.29,114.88,183,19.1,1799,0.371
1/7/2022,Kapsara,KAP-303577-6386,PF1,TRFK 303/577,2.93,114.88,183,19.1,1380,0.367
1/7/2022,Kapsara,KAP-303577-5100,PD,TRFK 303/577,2.6,114.88,183,19.1,1234,0.372
1/7/2022,Kapsara,KAP-303577-2753,D1,TRFK 303/577,2.47,114.88,183,19.1,1406,0.361
1/7/2022,Kapsara,KAP-318-5643,BP1,TRFK 31/8,2.87,114.88,183,19.1,2874,0.345
1/7/2022,Kapsara,KAP-318-9858,PF1,TRFK 31/8,2.72,114.88,183,19.1,2363,0.34
1/7/2022,Kapsara,KAP-318-5828,PD,TRFK 31/8,2.28,114.88,183,19.1,1026,0.337
1/7/2022,Kapsara,KAP-318-6782,D1,TRFK 31/8,3.07,114.88,183,19.1,2556,0.354
1/7/2022,Kapsara,KAP-1219-1063,BP1,TRFK 12/19,2.35,114.88,183,19.1,1983,0.309
1/7/2022,Kapsara,KAP-1219-1839,PF1,TRFK 12/19,2.11,114.88,183,19.1,3317,0.309
1/7/2022,Kapsara,KAP-1219-7203,PD,TRFK 12/19,2.56,114.88,183,19.1,1187,0.332
1/7/2022,Kapsara,KAP-1219-3158,D1,TRFK 12/19,2.46,114.88,183,19.1,3740,0.283
1/7/2022,Kapsara,KAP-79-6649,BP1,TRFK 7/9,2.6,114.88,183,19.1,2763,0.27
1/7/2022,Kapsara,KAP-79-8433,PF1,TRFK 7/9,2.35,114.88,183,19.1,2454,0.285
1/7/2022,Kapsara,KAP-79-8502,PD,TRFK 7/9,2.83,114.88,183,19.1,2242,0.272
1/7/2022,Kapsara,KAP-79-3247,D1,TRFK 7/9,2.25,114.88,183,19.1,1672,0.267
1/7/2022,Chebut,CHE-68-2485,BP1,TRFK 6/8,2.59,114.88,183,19.1,2108,0.48
1/7/2022,Chebut,CHE-68-5544,PF1,TRFK 6/8,2.52,114.88,183,19.1,1962,0.409
1/7/2022,Chebut,CHE-68-2646,PD,TRFK 6/8,2.73,114.88,183,19.1,2888,0.408
1/7/2022,Chebut,CHE-68-7036,D1,TRFK 6/8,2.92,114.88,183,19.1,3557,0.481
1/7/2022,Chebut,CHE-303577-5144,BP1,TRFK 303/577,3.15,114.88,183,19.1,2452,0.441
1/7/2022,Chebut,CHE-303577-2821,PF1,TRFK 303/577,2.85,114.88,183,19.1,3232,0.37
1/7/2022,Chebut,CHE-303577-1652,PD,TRFK 303/577,2.65,114.88,183,19.1,1735,0.415
1/7/2022,Chebut,CHE-303577-6376,D1,TRFK 303/577,2.23,114.88,183,19.1,2914,0.373
1/7/2022,Chebut,CHE-318-6725,BP1,TRFK 31/8,3.09,114.88,183,19.1,1175,0.404
1/7/2022,Chebut,CHE-318-5708,PF1,TRFK 31/8,2.84,114.88,183,19.1,3614,0.338
1/7/2022,Chebut,CHE-318-2524,PD,TRFK 31/8,2.14,114.88,183,19.1,3222,0.393
1/7/2022,Chebut,CHE-318-9968,D1,TRFK 31/8,2.61,114.88,183,19.1,3205,0.305
1/7/2022,Chebut,CHE-1219-7495,BP1,TRFK 12/19,2.62,114.88,183,19.1,2611,0.277
1/7/2022,Chebut,CHE-1219-2163,PF1,TRFK 12/19,2.61,114.88,183,19.1,2538,0.321
1/7/2022,Chebut,CHE-1219-7112,PD,TRFK 12/19,1.6,114.88,183,19.1,2415,0.303
1/7/2022,Chebut,CHE-1219-5658,D1,TRFK 12/19,2.44,114.88,183,19.1,2327,0.228
1/7/2022,Chebut,CHE-79-8604,BP1,TRFK 7/9,2.28,114.88,183,19.1,1247,0.225
1/7/2022,Chebut,CHE-79-5393,PF1,TRFK 7/9,2.94,114.88,183,19.1,2807,0.31
1/7/2022,Chebut,CHE-79-2874,PD,TRFK 7/9,2.07,114.88,183,19.1,2846,0.317
1/7/2022,Chebut,CHE-79-8353,D1,TRFK 7/9,2.27,114.88,183,19.1,3111,0.289
1/14/2022,Tegat,TEG-68-1776,BP1,TRFK 6/8,3.09,112.62,162,19.6,3614,0.383
1/14/2022,Tegat,TEG-68-2151,PF1,TRFK 6/8,2.86,112.62,162,19.6,3016,0.394
1/14/2022,Tegat,TEG-68-4246,PD,TRFK 6/8,2.6,112.62,162,19.6,3162,0.45
1/14/2022,Tegat,TEG-68-6866,D1,TRFK 6/8,2.69,112.62,162,19.6,3761,0.45
1/14/2022,Tegat,TEG-303577-4813,BP1,TRFK 303/577,3.11,112.62,162,19.6,1243,0.461
1/14/2022,Tegat,TEG-303577-2104,PF1,TRFK 303/577,2.72,112.62,162,19.6,1253,0.436
1/14/2022,Tegat,TEG-303577-5900,PD,TRFK 303/577,2.55,112.62,162,19.6,935,0.426
1/14/2022,Tegat,TEG-303577-4881,D1,TRFK 303/577,2.15,112.62,162,19.6,1756,0.324
1/14/2022,Tegat,TEG-318-1108,BP1,TRFK 31/8,2.51,112.62,162,19.6,1775,0.358
1/14/2022,Tegat,TEG-318-5903,PF1,TRFK 31/8,2.74,112.62,162,19.6,1220,0.259
1/14/2022,Tegat,TEG-318-7159,PD,TRFK 31/8,2.56,112.62,162,19.6,1723,0.356
1/14/2022,Tegat,TEG-318-6991,D1,TRFK 31/8,2.67,112.62,162,19.6,3797,0.317
1/14/2022,Tegat,TEG-1219-6609,BP1,TRFK 12/19,2.7,112.62,162,19.6,1162,0.308
1/14/2022,Tegat,TEG-1219-3213,PF1,TRFK 12/19,2.72,112.62,162,19.6,1598,0.294
1/14/2022,Tegat,TEG-1219-8274,PD,TRFK 12/19,2.5,112.62,162,19.6,1474,0.286
1/14/2022,Tegat,TEG-1219-9184,D1,TRFK 12/19,2.51,112.62,162,19.6,1004,0.296
1/14/2022,Tegat,TEG-79-8379,BP1,TRFK 7/9,2.85,112.62,162,19.6,2657,0.235
1/14/2022,Tegat,TEG-79-3589,PF1,TRFK 7/9,1.85,112.62,162,19.6,3363,0.256
1/14/2022,Tegat,TEG-79-9712,PD,TRFK 7/9,2.6,112.62,162,19.6,3590,0.287
1/14/2022,Tegat,TEG-79-8377,D1,TRFK 7/9,2.63,112.62,162,19.6,3330,0.278
1/14/2022,Litein,LIT-68-5933,BP1,TRFK 6/8,3.3,112.62,162,19.6,2727,0.391
1/14/2022,Litein,LIT-68-8319,PF1,TRFK 6/8,2.76,112.62,162,19.6,3030,0.389
1/14/2022,Litein,LIT-68-1899,PD,TRFK 6/8,2.7,112.62,162,19.6,2958,0.48
1/14/2022,Litein,LIT-68-5583,D1,TRFK 6/8,2.39,112.62,162,19.6,1058,0.384
1/14/2022,Litein,LIT-303577-2972,BP1,TRFK 303/577,3.01,112.62,162,19.6,3464,0.316
1/14/2022,Litein,LIT-303577-4340,PF1,TRFK 303/577,3.01,112.62,162,19.6,1165,0.361
1/14/2022,Litein,LIT-303577-6327,PD,TRFK 303/577,2.39,112.62,162,19.6,2229,0.395
1/14/2022,Litein,LIT-303577-8853,D1,TRFK 303/577,2.52,112.62,162,19.6,2559,0.393
1/14/2022,Litein,LIT-318-5870,BP1,TRFK 31/8,3.19,112.62,162,19.6,1773,0.288
1/14/2022,Litein,LIT-318-3317,PF1,TRFK 31/8,2.99,112.62,162,19.6,2782,0.379
1/14/2022,Litein,LIT-318-5154,PD,TRFK 31/8,2.67,112.62,162,19.6,2374,0.352
1/14/2022,Litein,LIT-318-2163,D1,TRFK 31/8,3.07,112.62,162,19.6,1245,0.342
1/14/2022,Litein,LIT-1219-1840,BP1,TRFK 12/19,2.71,112.62,162,19.6,1783,0.27
1/14/2022,Litein,LIT-1219-4606,PF1,TRFK 12/19,2.65,112.62,162,19.6,2740,0.311
1/14/2022,Litein,LIT-1219-8560,PD,TRFK 12/19,2.13,112.62,162,19.6,1531,0.227
1/14/2022,Litein,LIT-1219-9283,D1,TRFK 12/19,1.94,112.62,162,19.6,1004,0.29
1/14/2022,Litein,LIT-79-2331,BP1,TRFK 7/9,3.27,112.62,162,19.6,1554,0.246
1/14/2022,Litein,LIT-79-6306,PF1,TRFK 7/9,2.55,112.62,162,19.6,2935,0.27
1/14/2022,Litein,LIT-79-6549,PD,TRFK 7/9,2.38,112.62,162,19.6,1817,0.268
1/14/2022,Litein,LIT-79-2772,D1,TRFK 7/9,2.62,112.62,162,19.6,2151,0.28
1/14/2022,Kapkatet,KAP-68-9654,BP1,TRFK 6/8,3.57,112.62,162,19.6,2386,0.47
1/14/2022,Kapkatet,KAP-68-2154,PF1,TRFK 6/8,2.91,112.62,162,19.6,3571,0.418
1/14/2022,Kapkatet,KAP-68-3418,PD,TRFK 6/8,2.75,112.62,162,19.6,3219,0.435
1/14/2022,Kapkatet,KAP-68-4454,D1,TRFK 6/8,2.5,112.62,162,19.6,2333,0.441
1/14/2022,Kapkatet,KAP-303577-8815,BP1,TRFK 303/577,3.06,112.62,162,19.6,3341,0.393
1/14/2022,Kapkatet,KAP-303577-6087,PF1,TRFK 303/577,2.7,112.62,162,19.6,1868,0.369
1/14/2022,Kapkatet,KAP-303577-1598,PD,TRFK 303/577,2.91,112.62,162,19.6,3053,0.368
1/14/2022,Kapkatet,KAP-303577-7354,D1,TRFK 303/577,2.05,112.62,162,19.6,3383,0.428
1/14/2022,Kapkatet,KAP-318-3154,BP1,TRFK 31/8,3.05,112.62,162,19.6,2642,0.287
1/14/2022,Kapkatet,KAP-318-5515,PF1,TRFK 31/8,1.7,112.62,162,19.6,3679,0.425
1/14/2022,Kapkatet,KAP-318-4819,PD,TRFK 31/8,2.68,112.62,162,19.6,1801,0.356
1/14/2022,Kapkatet,KAP-318-7776,D1,TRFK 31/8,1.94,112.62,162,19.6,2024,0.343
1/14/2022,Kapkatet,KAP-1219-7073,BP1,TRFK 12/19,2.62,112.62,162,19.6,1506,0.312
1/14/2022,Kapkatet,KAP-1219-7402,PF1,TRFK 12/19,2.77,112.62,162,19.6,1381,0.331
1/14/2022,Kapkatet,KAP-1219-9621,PD,TRFK 12/19,3,112.62,162,19.6,2512,0.269
1/14/2022,Kapkatet,KAP-1219-6857,D1,TRFK 12/19,2.8,112.62,162,19.6,1310,0.349
1/14/2022,Kapkatet,KAP-79-3957,BP1,TRFK 7/9,2.37,112.62,162,19.6,1132,0.285
1/14/2022,Kapkatet,KAP-79-5316,PF1,TRFK 7/9,2.52,112.62,162,19.6,2261,0.267
1/14/2022,Kapkatet,KAP-79-3196,PD,TRFK 7/9,1.95,112.62,162,19.6,3530,0.296
1/14/2022,Kapkatet,KAP-79-2732,D1,TRFK 7/9,1.62,112.62,162,19.6,1746,0.261
1/14/2022,Momul,MOM-68-7508,BP1,TRFK 6/8,3.25,112.62,162,19.6,2330,0.392
1/14/2022,Momul,MOM-68-8564,PF1,TRFK 6/8,2.52,112.62,162,19.6,3346,0.429
1/14/2022,Momul,MOM-68-4660,PD,TRFK 6/8,2.74,112.62,162,19.6,2843,0.414
1/14/2022,Momul,MOM-68-7523,D1,TRFK 6/8,2.73,112.62,162,19.6,1963,0.445
1/14/2022,Momul,MOM-303577-9381,BP1,TRFK 303/577,3.06,112.62,162,19.6,3348,0.399
1/14/2022,Momul,MOM-303577-7201,PF1,TRFK 303/577,2.85,112.62,162,19.6,3370,0.377
1/14/2022,Momul,MOM-303577-3744,PD,TRFK 303/577,2.59,112.62,162,19.6,2602,0.344
1/14/2022,Momul,MOM-303577-6245,D1,TRFK 303/577,2.25,112.62,162,19.6,2346,0.362
1/14/2022,Momul,MOM-318-1197,BP1,TRFK 31/8,2.48,112.62,162,19.6,2055,0.352
1/14/2022,Momul,MOM-318-4523,PF1,TRFK 31/8,2.67,112.62,162,19.6,1414,0.372
1/14/2022,Momul,MOM-318-3332,PD,TRFK 31/8,2.78,112.62,162,19.6,971,0.317
1/14/2022,Momul,MOM-318-4781,D1,TRFK 31/8,2.62,112.62,162,19.6,1791,0.289
1/14/2022,Momul,MOM-1219-4739,BP1,TRFK 12/19,2.63,112.62,162,19.6,1706,0.269
1/14/2022,Momul,MOM-1219-7420,PF1,TRFK 12/19,2.6,112.62,162,19.6,3747,0.347
1/14/2022,Momul,MOM-1219-9861,PD,TRFK 12/19,2.87,112.62,162,19.6,3108,0.313
1/14/2022,Momul,MOM-1219-3562,D1,TRFK 12/19,1.48,112.62,162,19.6,3693,0.29
1/14/2022,Momul,MOM-79-1667,BP1,TRFK 7/9,2.13,112.62,162,19.6,1230,0.35
1/14/2022,Momul,MOM-79-6846,PF1,TRFK 7/9,1.97,112.62,162,19.6,2504,0.288
1/14/2022,Momul,MOM-79-1965,PD,TRFK 7/9,2.92,112.62,162,19.6,3755,0.289
1/14/2022,Momul,MOM-79-9732,D1,TRFK 7/9,2.91,112.62,162,19.6,3074,0.265
1/14/2022,Kapsara,KAP-68-3679,BP1,TRFK 6/8,2.65,112.62,162,19.6,1018,0.405
1/14/2022,Kapsara,KAP-68-8874,PF1,TRFK 6/8,2.78,112.62,162,19.6,3758,0.428
1/14/2022,Kapsara,KAP-68-3176,PD,TRFK 6/8,2.4,112.62,162,19.6,2093,0.4
1/14/2022,Kapsara,KAP-68-2997,D1,TRFK 6/8,2.96,112.62,162,19.6,2510,0.398
1/14/2022,Kapsara,KAP-303577-4999,BP1,TRFK 303/577,3.03,112.62,162,19.6,3285,0.396
1/14/2022,Kapsara,KAP-303577-9577,PF1,TRFK 303/577,2.34,112.62,162,19.6,1041,0.344
1/14/2022,Kapsara,KAP-303577-7863,PD,TRFK 303/577,2.73,112.62,162,19.6,2968,0.396
1/14/2022,Kapsara,KAP-303577-7658,D1,TRFK 303/577,2.36,112.62,162,19.6,3044,0.405
1/14/2022,Kapsara,KAP-318-9169,BP1,TRFK 31/8,2.84,112.62,162,19.6,1580,0.391
1/14/2022,Kapsara,KAP-318-4993,PF1,TRFK 31/8,2.51,112.62,162,19.6,913,0.349
1/14/2022,Kapsara,KAP-318-5774,PD,TRFK 31/8,2.34,112.62,162,19.6,985,0.321
1/14/2022,Kapsara,KAP-318-6494,D1,TRFK 31/8,2.31,112.62,162,19.6,2847,0.304
1/14/2022,Kapsara,KAP-1219-5717,BP1,TRFK 12/19,1.8,112.62,162,19.6,1909,0.389
1/14/2022,Kapsara,KAP-1219-7386,PF1,TRFK 12/19,2.39,112.62,162,19.6,2611,0.289
1/14/2022,Kapsara,KAP-1219-5946,PD,TRFK 12/19,2.33,112.62,162,19.6,3471,0.261
1/14/2022,Kapsara,KAP-1219-7074,D1,TRFK 12/19,2.53,112.62,162,19.6,1891,0.248
1/14/2022,Kapsara,KAP-79-5801,BP1,TRFK 7/9,2.8,112.62,162,19.6,3796,0.286
1/14/2022,Kapsara,KAP-79-5806,PF1,TRFK 7/9,2.29,112.62,162,19.6,1296,0.302
1/14/2022,Kapsara,KAP-79-1542,PD,TRFK 7/9,1.65,112.62,162,19.6,2037,0.266
1/14/2022,Kapsara,KAP-79-4096,D1,TRFK 7/9,2.92,112.62,162,19.6,1289,0.338
1/14/2022,Chebut,CHE-68-4157,BP1,TRFK 6/8,2.77,112.62,162,19.6,1485,0.431
1/14/2022,Chebut,CHE-68-9667,PF1,TRFK 6/8,2.7,112.62,162,19.6,2740,0.462
1/14/2022,Chebut,CHE-68-8985,PD,TRFK 6/8,2.71,112.62,162,19.6,3681,0.419
1/14/2022,Chebut,CHE-68-9823,D1,TRFK 6/8,2.49,112.62,162,19.6,1725,0.417
1/14/2022,Chebut,CHE-303577-6043,BP1,TRFK 303/577,2.45,112.62,162,19.6,1843,0.397
1/14/2022,Chebut,CHE-303577-9854,PF1,TRFK 303/577,2.64,112.62,162,19.6,3052,0.407
1/14/2022,Chebut,CHE-303577-1225,PD,TRFK 303/577,2.74,112.62,162,19.6,1768,0.334
1/14/2022,Chebut,CHE-303577-2596,D1,TRFK 303/577,2.79,112.62,162,19.6,1350,0.463
1/14/2022,Chebut,CHE-318-3255,BP1,TRFK 31/8,2.9,112.62,162,19.6,3196,0.334
1/14/2022,Chebut,CHE-318-8747,PF1,TRFK 31/8,2.91,112.62,162,19.6,2281,0.384
1/14/2022,Chebut,CHE-318-3300,PD,TRFK 31/8,2.38,112.62,162,19.6,3262,0.322
1/14/2022,Chebut,CHE-318-5232,D1,TRFK 31/8,2.31,112.62,162,19.6,1437,0.368
1/14/2022,Chebut,CHE-1219-4843,BP1,TRFK 12/19,3.18,112.62,162,19.6,2793,0.285
1/14/2022,Chebut,CHE-1219-9410,PF1,TRFK 12/19,2.64,112.62,162,19.6,2155,0.333
1/14/2022,Chebut,CHE-1219-7652,PD,TRFK 12/19,1.63,112.62,162,19.6,1198,0.273
1/14/2022,Chebut,CHE-1219-6148,D1,TRFK 12/19,1.51,112.62,162,19.6,1090,0.268
1/14/2022,Chebut,CHE-79-8110,BP1,TRFK 7/9,2.46,112.62,162,19.6,1806,0.271
1/14/2022,Chebut,CHE-79-6719,PF1,TRFK 7/9,2.03,112.62,162,19.6,2015,0.317
1/14/2022,Chebut,CHE-79-5043,PD,TRFK 7/9,1.94,112.62,162,19.6,1500,0.3
1/14/2022,Chebut,CHE-79-3074,D1,TRFK 7/9,2.13,112.62,162,19.6,2108,0.28
1/21/2022,Tegat,TEG-68-3473,BP1,TRFK 6/8,2.97,112.97,190.1,19.1,2319,0.365
1/21/2022,Tegat,TEG-68-5959,PF1,TRFK 6/8,3.05,112.97,190.1,19.1,3163,0.384
1/21/2022,Tegat,TEG-68-3060,PD,TRFK 6/8,2.77,112.97,190.1,19.1,1835,0.34
1/21/2022,Tegat,TEG-68-8768,D1,TRFK 6/8,2.37,112.97,190.1,19.1,2881,0.471
1/21/2022,Tegat,TEG-303577-3221,BP1,TRFK 303/577,2.97,112.97,190.1,19.1,3598,0.34
1/21/2022,Tegat,TEG-303577-8774,PF1,TRFK 303/577,2.49,112.97,190.1,19.1,2963,0.382
1/21/2022,Tegat,TEG-303577-3870,PD,TRFK 303/577,2.82,112.97,190.1,19.1,1300,0.39
1/21/2022,Tegat,TEG-303577-9395,D1,TRFK 303/577,2.62,112.97,190.1,19.1,1446,0.408
1/21/2022,Tegat,TEG-318-7355,BP1,TRFK 31/8,2.26,112.97,190.1,19.1,2698,0.375
1/21/2022,Tegat,TEG-318-3076,PF1,TRFK 31/8,3.04,112.97,190.1,19.1,2611,0.275
1/21/2022,Tegat,TEG-318-3525,PD,TRFK 31/8,2.58,112.97,190.1,19.1,3374,0.403
